time,open,high,low,close,tick_volume,spread,real_volume
2022-10-07 20:00:00,0.9761,0.97693,0.9756,0.9757,5788,1,0
2022-10-07 21:00:00,0.9757,0.97631,0.97342,0.97354,6065,1,0
2022-10-07 22:00:00,0.97351,0.97399,0.97307,0.97388,6776,1,0
2022-10-07 23:00:00,0.97387,0.97429,0.97331,0.97337,2934,1,0
2022-10-10 00:00:00,0.97292,0.97374,0.97292,0.97368,504,5,0
2022-10-10 01:00:00,0.97368,0.97398,0.97293,0.97315,3663,1,0
2022-10-10 02:00:00,0.97315,0.97371,0.97277,0.97347,4045,1,0
2022-10-10 03:00:00,0.97347,0.97413,0.97248,0.97378,5574,1,0
2022-10-10 04:00:00,0.97378,0.97533,0.97368,0.97503,5584,1,0
2022-10-10 05:00:00,0.97504,0.97506,0.97411,0.97455,3633,1,0
2022-10-10 06:00:00,0.97454,0.97461,0.97325,0.97377,2936,1,0
2022-10-10 07:00:00,0.97377,0.97409,0.97329,0.97398,3243,1,0
2022-10-10 08:00:00,0.97398,0.97435,0.97159,0.9717,4869,1,0
2022-10-10 09:00:00,0.97169,0.97336,0.97166,0.97186,7410,1,0
2022-10-10 10:00:00,0.97187,0.97331,0.96991,0.97067,11095,1,0
2022-10-10 11:00:00,0.97066,0.97088,0.96817,0.96884,10166,1,0
2022-10-10 12:00:00,0.96884,0.97093,0.96884,0.97067,9395,1,0
2022-10-10 13:00:00,0.97067,0.97094,0.96885,0.96926,6955,1,0
2022-10-10 14:00:00,0.96926,0.97066,0.96871,0.96972,7601,1,0
2022-10-10 15:00:00,0.96971,0.97191,0.96937,0.97147,8709,1,0
2022-10-10 16:00:00,0.97147,0.97218,0.96942,0.97,11756,1,0
2022-10-10 17:00:00,0.96999,0.97457,0.96951,0.97025,16862,1,0
2022-10-10 18:00:00,0.97025,0.97049,0.96855,0.97028,10945,1,0
2022-10-10 19:00:00,0.97028,0.97046,0.96895,0.96918,7126,1,0
2022-10-10 20:00:00,0.96919,0.97185,0.96854,0.97131,9301,1,0
2022-10-10 21:00:00,0.9713,0.97239,0.97029,0.97033,6613,1,0
2022-10-10 22:00:00,0.97034,0.97094,0.97013,0.97023,6717,1,0
2022-10-10 23:00:00,0.97024,0.97073,0.97024,0.97027,1561,1,0
